headword,transliteration,meaning_en,part_of_speech
अकुध्र्यञ्च्,akudhryañc,"/aN,Dr/IcI,/ak(kuDriforkuDaforkuha=kutra), going nowhere (Ak, 4)",ind.
अकुप्य,akupya,not base metal,n.
अकुप्यत्,akupyat,not boiling,mfn.
अकुमार,akumāra,not a boy (said of Indraindra) RV,m.
अकुम्भ,akumbha,no water-jar,m.
अकुल,akula,not of good family,mfn.
अकुशल,akuśala,mf(A)n.inauspicious,mf
अकुष्ठिपृषत्,akuṣṭhipṛṣat,neither leprous nor spotted,mfn.
अकुसीद,akusīda,or akuSIda mfn,mfn.
अकुशीद,akuśīda,or akusIda mfn,mfn.
अकुसुम,akusuma,flowerless.,mfn.
अकुह,akuha,no deceiver L.,m.
अकूज,akūja,noiseless,mfn.
अकूट,akūṭa,mf(A)n,mf
अकूपार,akūpāra,unbounded RV,mfn.
अकूर्च,akūrca,the guileless one,m.
अकूर्मपृषत्,akūrmapṛṣat,not spotted like a turtle,mfn.
अकृच्छ्र,akṛcchra,mn. absence of difficulty,mn.
अकृत,akṛta,mf(A)n,mf
अकृत्त,akṛtta,uncut,mfn.
अकृत्रिम,akṛtrima,mf(A)n,mf
अकृत्स्न,akṛtsna,mf(A)n,mf
अकृप,akṛpa,merciless,mfn.
अकृपण,akṛpaṇa,not miserly.,mfn.
अकृमिपरिसृप्त,akṛmiparisṛpta,not crawled over by worms,mfn.
अकृश,akṛśa,not emaciated TS.,mfn.
अकृषीवल,akṛṣīvala,mf(A)n,mf
अकृष्ट,akṛṣṭa,unploughed,mfn.
अकृष्णकर्मन्,akṛṣṇakarman,free from black deeds,mfn.
अकेतन,aketana,houseless.,mfn.
अकेतु,aketu,"shapeless, unrecognisable RV",mfn.
अकेश,akeśa,mf(APa1n2.IR.)n,mf
अकोट,akoṭa,without a bend,m.
अकोप,akopa,N. of a minister of king Das3arathadaSaraTa R. &c,m.
अकोपन,akopana,not irascible.,mfn.
अकोविद,akovida,unwise,mfn.
अकौशल,akauśala,unskilfulness Pa1n2.,n.
अक्का,akkā,Voc. akka Pa1n2.) a mother (used contemptuously,f.
अक्त,akta,"aj), driven.",mfn.
अक्त,akta,"aYj), smeared over, diffused, bedaubed, tinged, characterized",mfn.
अक्नोपन,aknopana,not moistening drying Nir.,mfn.
अक्र,akra,"kf), inactive RV",mfn.
अक्र,akra,a banner RV.,m.
अक्रतु,akratu,destitute of energy or power [ of sacrifices Sa1y.,mfn.
अक्रन्दित,akrandita,not pressed (as tila),mfn.
अक्रम,akrama,not happening successively,mfn.
अक्रविहस्त,akravihasta,"not having bloody hands [ not having niggardly hands, not close-fisted Sa1y.",mfn.
अक्रव्याद्,akravyād,not consuming flesh (N,mfn.
अक्रान्त,akrānta,"unpassed, unsurpassed, unconquered, not doubled RV.",mfn.
अक्रिय,akriya,without works,mfn.
अक्रीडत्,akrīḍat,not playing RV,mfn.
अक्रीत,akrīta,not bought,mfn.
अक्रुध्यत्,akrudhyat,not being angry,mfn.
अक्रूर,akrūra,not cruel,mfn.
अक्रोध,akrodha,suppression of anger,m.
अक्लम,aklama,freedom from fatigue.,m.
अक्लिका,aklikā,the Indigo plant L.,f.
अक्लिन्नवर्त्मन्,aklinnavartman,N. of a disease of the eyes Sus3r.,n.
अक्लिष्ट,akliṣṭa,untroubled,mfn.
अक्लीब,aklība,not impotent,mfn.
अक्ष्,akṣ,"perhaps a kind of old Desid. of 1. aS) cl.1.5. akzati, akzRoti (Pa1n2. 3-1, 75",m.
अक्षण,akṣaṇa,inopportune.,mfn.
अक्षण्वत्,akṣaṇvat,kzan),mfn.
अक्षत,akṣata,not crushed,mfn.
अक्षत्र,akṣatra,destitute of the Kshatriyakzatriya caste,mfn.
अक्षन्,akṣan,See akzi.,
अक्षम,akṣama,mf(A)n,mf
अक्षय,akṣaya,mf(A)n,mf
अक्षर,akṣara,imperishable,mfn.
अक्षान्ति,akṣānti,impatience,f.
अक्षार,akṣāra,free from alkali or factitious salt.,mfn.
अक्षि,akṣi,"1. aS Un2.) ([instr. akzRA dat. akzRe, &c, fr. akzan, substituted for akzi in the weakest cases. Vedic forms are: abl. gen. akzR/as",n.
अक्षिणी,akṣiṇī,one of the eight conditions or privileges attached to landed property L.,f.
अक्षित्,akṣit,imperishable,mfn.
अक्षिब,akṣiba,L.,m.
अक्षियत्,akṣiyat,"not inhabiting, destitute of a dwelling, unsettled ( not decreasing in riches Sa1y.",mfn.
अक्षीक,akṣīka,L.,m.
अक्षीण,akṣīṇa,not perishing or failing S3Br.,mfn.
अक्षीब,akṣība,and akziba not intoxicated,mfn.
अक्षिब,akṣiba,and akzIba not intoxicated,mfn.
अक्षीयमाण,akṣīyamāṇa,imperishable,mfn.
अक्षु,akṣu,"a kind of net RV. i, 180, 5",m.
अक्षुण्ण,akṣuṇṇa,unbroken,mfn.
अक्षुद्र,akṣudra,not small,mfn.
अक्षुध्,akṣudh,satiety VS.,f.
अक्षेत्र,akṣetra,destitute of fields,mfn.
अक्षोट,akṣoṭa,a walnut (Pistacio nut?) Ragh.,m.
अक्षोड,akṣoḍa,= akzowa,m.
अक्षोडक,akṣoḍaka,= akzowa,m.
अक्षोभ,akṣobha,unagitated,mfn.
अक्षौहिणी,akṣauhiṇī,"an army consisting of ten ani1kini1sanIkinIs, or 21870 elephants, 21870 chariots, 65610 horse, and 109350 foot",f.
अक्ष्ण,akṣṇa,= a-KaRqa Un2,n.
अखट्ट,akhaṭṭa,Buchanania Latifolia.,m.
अखट्टि,akhaṭṭi,childish whim L.,m.
अखण्ड,akhaṇḍa,not fragmentary,mfn.
अखनत्,akhanat,not digging RV,mfn.
अखर्व,akharva,not shortened or mutilated RV,mfn.
अखात,akhāta,unburied AV.,mfn.
अखाद्य,akhādya,uneatable.,mfn.
अखिद्र,akhidra,mf(A)n,mf
अखिन्न,akhinna,unwearied,mfn.
अखिल,akhila,mf(A)n,mf
अखेटिक,akheṭika,or AKewika m,m.
आखेटिक,ākheṭika,or aKewika m,m.
अखेदिन्,akhedin,not wearisome,mfn.
अख्खल,akhkhala,an exclamation of joy Sa1y,ind.
अख्यात,akhyāta,not famous,mfn.
अग्,ag,"to move tortuously, wind L. : Caus. agayati L.",m.
अग,aga,gam),mfn.
अगणित,agaṇita,uncounted,mfn.
अगत,agata,not gone,mfn.
अगद,agada,free from disease healthy RV,mfn.
अगदित,agadita,untold,mfn.
अगन्ध,agandha,without smell.,mfn.
अगम,agama,not going,mfn.
अगरी,agarī,a kind of grass (Deotar,f.
अगरु,agaru,mn. Agallochum,mn.
अगर्तमित्,agartamit,cf. garta-m/it) mfn. not buried in a hole S3Br.,mfn.
अगर्भ,agarbha,not rooted in another tree,mfn.
अगर्व,agarva,free from pride.,mfn.
अगर्हित,agarhita,undespised,mfn.
अगव्यूति,agavyūti,"without good pasturage for cattle, barren RV",mfn.
अगस्ति,agasti,"according to Un2. iv, 179 fr. 2.a-ga, a mountain, and asti, thrower, 2. as). N. of a R2ishifzi (author of several Vedic hymns",m.
अगा,agā,Ved.) not going Pa1n2,mf.
अगातृ,agātṛ,a bad singer Ta1n2d2yaBr.,m.
अगाध,agādha,mf(A)n,mf
अगार,agāra,"rarely as, m.) n",m.
अगालित,agālita,unfiltered,mfn.
अगिर,agira,"ag), the sun L., fire L.",m.
अगिरौकस्,agiraukas,girA instr,mfn.
अगीत,agīta,unsung (in gItAgIta),mfn.
अगु,agu,fr. go with a),mfn.
अगुण,aguṇa,destitute of qualities or attributes (said of the supreme Being cf,mfn.
अगुप्त,agupta,unhidden,mfn.
अगुरु,aguru,not heavy,mfn.
अगूढ,agūḍha,unconcealed,mfn.
अगृभीत,agṛbhīta,"not seized or taken unsubdued RV. viii, 79, 1",mfn.
अगृह,agṛha,houseless.,mfn.
अगोचर,agocara,"not within range, unattainable, inaccessible (cf",mfn.
अगोपा,agopā,without a cowherd,mfn.
अगोरुध,agorudha,not driving away the cow RV,mfn.
अगोह्य,agohya,4) mfn,mfn.
अगौकस्,agaukas,See 2,
अग्धाद्,agdhād,fr. a+ gDa p.p.p. fr Gas + ad),mfn.
अग्ना,agnā,for agni in the following comp.,m.
अग्नि,agni,ag Un2.) fire,m.
अग्मन्,agman,conflict,n.
अग्र,agra,fr. aNg Un2.),mfn.
अग्रभण,agrabhaṇa,"graB = grah), having nothing which can be grasped RV",mfn.
अग्रस्त,agrasta,not swallowed (said of sounds),mfn.
अग्राम्य,agrāmya,not rustic,mfn.
अग्रि,agri,a word invented for the explanation of agn/i S3Br.,m.
अग्रु,agru,"unmarried RV. v, 44, 7 and vii, 96, 4",m.
अघ्,agh,to go wrong,mfn.
अघरिका,agharikā,a kind of game,f.
अघूर्ण,aghūrṇa,not tottering,mfn.
अघटमान,aghaṭamāna,incongruous,mfn.
अघण्ट,aghaṇṭa,cf. GaRwa) N. of S3ivaSiva,m.
अघटितघटित,aghaṭitaghaṭita,badly put together,mfn.
अघन,aghana,not dense or solid.,mfn.
अघर्म,agharma,not hot,mfn.
अघात,aghāta,no injury,m.
अघारिन्,aghārin,not anointing AV.,mfn.
अघासक,aghāsaka,without food or provisions.,mfn.
अघृण,aghṛṇa,incompassionate.,mfn.
अघोदक,aghodaka,prob.) the daily bath during the period of uncleanness,n.
अघोर,aghora,not terrific,mfn.
अघोष,aghoṣa,in Gr.) non-sonance,m.
अघोस्,aghos,voc. of aGa-vat,ind.
अघ्नत्,aghnat,mf(atI)n,mf
अघ्रेय,aghreya,Gra),mfn.
अङ्क्,aṅk,"cl.1. (connected, with, aYc) A1. aNkate, AnaNke, aNkizyate, aNkitum, to move in a curve L.",m.
अङ्कार,aṅkāra,m.? diminution in music L.,m.
अङ्कोट,aṅkoṭa,"aNkoWa,aNkola,aNkolla,aNkolaka m",m.
अङ्कोठ,aṅkoṭha,"aNkowa,aNkola,aNkolla,aNkolaka m",m.
अङ्कोल,aṅkola,"aNkoWa,aNkowa,aNkolla,aNkolaka m",m.
अङ्कोल्ल,aṅkolla,"aNkoWa,aNkola,aNkowa,aNkolaka m",m.
अङ्कोलक,aṅkolaka,"aNkoWa,aNkola,aNkolla,aNkowa m",m.
अङ्कोलिका,aṅkolikā,a corruption of aNka-pAlikA q.v.),f.
अङ्क्त्वा,aṅktvā,ind.p,
अङ्ख्,aṅkh,cl.10 P,
अङ्ग्,aṅg,"AnaNga, aNgitum, to go (cf. ag)",n.
अङ्ग,aṅga,a particle implying attention,ind.
अङ्ग,aṅga,am Un2.),n.
अङ्गण,aṅgaṇa,See aNgana.,n.
अङ्गति,aṅgati,"ag), fire L.",m.
अङ्गन,aṅgana,aNg q.v.),n.
अङ्गभ,aṅgabha,a kind of rice L.,m.
अङ्गव,aṅgava,dried fruit L.,m.
अङ्गस्,aṅgas,aNj Un2.),n.
अङ्गार,aṅgāra,rarely) n,m.
अङ्गिका,aṅgikā,See aNgaka.,
अङ्गिर्,aṅgir,"aNg Un2.), N",m.
अङ्गी,aṅgī,See 1,
अङ्गुरि,aṅguri,or aNgurI [L.] (for aNguli,f.
अङ्गुरी,aṅgurī,or aNguri [L.] (for aNguli,f.
अङ्गुल,aṅgula,ag or aNg),m.
अङ्गूष,aṅgūṣa,aNg or ag),m.
अङ्गोषिन्,aṅgoṣin,"resonant (?), praiseworthy (?) , N",mfn.
अङ्ग्य,aṅgya,See col.1.,
अङ्घ्,aṅgh,"AnaNGe, to go, set out, set about, commence L.",m.
अच्,ac,"connected with aYc q.v.) cl.1 P. A1. /acati, /aYcati, te, AnaYca, ce, to go, move, tend",
अच्,ac,a technical term for all the vowels Pa1n2.,mfn.
अचकृवस्,acakṛvas,not guilty of a Kr2itya1kftyA (q.v.),mfn.
अचक्र,acakra,having no wheels,mfn.
अचक्रवर्त,acakravarta,see cakra-vftta.,
अचक्षुस्,acakṣus,a bad eye,n.
अचण्ड,acaṇḍa,not of a hot temper,mfn.
अचतुर,acatura,destitute of four,mfn.
अचन्द्र,acandra,moonless.,mfn.
अचपल,acapala,not oscillating,mfn.
अचर,acara,or /a-carat ([RV.]) mfn,mfn.
अचरत्,acarat,or /a-carat ([RV.]) mfn,mfn.
अचरण,acaraṇa,improper conduct,n.
अचरणीय,acaraṇīya,prob.) not to be associated with,mfn.
अचरम,acarama,not last,mfn.
अचरित,acarita,"not eating, abstinence from food (accord",n.
अचर्मक,acarmaka,having no skin TS.,mfn.
अचल,acala,mf(A)n,mf
अचाक्रिक,acākrika,having no accomplice,mfn.
अचारु,acāru,not pretty Pa1n2.,mfn.
अचित्,acit,without understanding RV.,mfn.
अचित,acita,not heaped up.,mfn.
अचित,acita,"ac), gone L.",mfn.
अचित्र,acitra,not variegated,mfn.
अचिन्ता,acintā,thoughtlessness.,f.
अचिर,acira,not of long duration,mfn.
अचिष्टु,aciṣṭu,See 2,
अचेतन,acetana,without consciousness,mfn.
अचेष्ट,aceṣṭa,effortless,mfn.
अचोदत्,acodat,"cud), not driving or impelling RV",mfn.
अच्याविन्,acyāvin,"firm, unchanging, Bcar",mfn.
अच्छ,accha,fr. a + Ca for Cad or Caya,mfn.
अच्छ,accha,corruption of fkza),m.
अच्छ,accha,"so at the end of a pa1dapAda) , or usually /acCA ind., Ved",ind.
अच्छटाशब्द,acchaṭāśabda,the sound of a snap,m.
अच्छटासंघात,acchaṭāsaṃghāta,the sound of a snap,m.
अच्छन्दस्क,acchandaska,having no metre,mfn.
अच्छम्बट्काराय,acchambaṭkārāya,"ind., SeeCambawkAra 75706, dat., for not making a failureS3Br",ind.
अच्छिद्र,acchidra,free from clefts or flaws,mfn.
अच्छुप्ता,acchuptā,N. of one of the sixteen Vidya1devi1svidyAdevIs of the JainasjEnas.,f.
अच्छूरिका,acchūrikā,or acCUrI f,f.
अच्छूरी,acchūrī,or acCUrikA f,f.
अच्छेर,acchera,"or aYS/era), mfn",mfn.
अच्युत,acyuta,or a-cyut/a not fallen,mfn.
अज्,aj,cl.1 P,m.
अज,aja,not born,mfn.
अजकव,ajakava,S3ivaSiva's bow L.,m.
अजघन्य,ajaghanya,not last,mfn.
अजघ्निवस्,ajaghnivas,mf(/a-jaGnuzI)n,mf
अजटा,ajaṭā,Flacourtia Cataphracta = ajaqA and ajJawA.,f.
अजड,ajaḍa,not inanimate,mfn.
अजथ्या,ajathyā,yellow jasmin.,f.
अजन,ajana,"aj), the instigator , Brahma1brahmA",m.
अजन,ajana,destitute of men,mfn.
अजन्त,ajanta,See 2,mfn.
अजन्मन्,ajanman,not subject to birth,mfn.
अजप,ajapa,jap),m.
अजप,ajapa,See 1,m.
अजम्भ,ajambha,toothless,m.
अजय,ajaya,non-victory,m.
अजर,ajara,"jF), not subject to old age, undecaying, ever young",mfn.
अजवस्,ajavas,"not quick, inactive RV",mfn.
अजस्र,ajasra,"jas), not to be obstructed, perpetual RV",mfn.
अजहत्,ajahat,pr. p. 3 -hA),mfn.
अजा,ajā,a she-goat,f.
अजागर,ajāgara,not awake,mfn.
अजाजि,ajāji,or ajAjI Cuminum Cyminum,f.
अजाजी,ajājī,or ajAji Cuminum Cyminum,f.
अजात,ajāta,unborn,mfn.
अजाति,ajāti,sham or bad merchandise,f.
अजानत्,ajānat,pr. p. jYA),mfn.
अजानि,ajāni,"is ([AV.]),or a-jAnika ([L.]) m",m.
अजामि,ajāmi,not of kin,mfn.
अजायमान,ajāyamāna,jan),mfn.
अजिका,ajikā,See ajaka.,f.
अजित,ajita,not conquered,mfn.
अजिन,ajina,probably at first the skin of a goat,n.
अजिर,ajira,"aj), agile, quick, rapid",mfn.
अजिह्म,ajihma,not crooked,mfn.
अजिह्व,ajihva,tongueless,mfn.
अजिह्वक,ajihvaka,"f., Seejihvaka 79497, tongueless , N",f.
अजीकव,ajīkava,S3ivaSiva's bow L,n.
अजीगर्त,ajīgarta,"that has nothing to swallow , N",m.
अजीत,ajīta,"jyA, usually jina), not faded, not faint AV.",mfn.
अजीर्ण,ajīrṇa,"jF), not decomposed",mfn.
अजीव,ajīva,lifeless.,mfn.
अजुगुप्सित,ajugupsita,not disliked.,mfn.
अजुर्,ajur,"jur), not subject to old age or decay RV",mfn.
अजुष्ट,ajuṣṭa,not enjoyed,mfn.
अजू,ajū,"not rushing forward, Sa1y",mfn.
अजेतव्य,ajetavya,invincible.,mfn.
अजोष,ajoṣa,mf(A)n,mf
अज्जुका,ajjukā,in the drama) a courtezan.,f.
अज्जू,ajjū,a mother,f.
अज्झटा,ajjhaṭā,the plant Flacourtia Cataphracta (= ajawA and ajaqA).,f.
अज्झल,ajjhala,a burning coal.,m.
अज्ञ,ajña,jYA),mfn.
अज्म,ajma,"aj), career, march RV",m.
अज्यानि,ajyāni,the state of being uninjured AV,f.
अज्यायस्,ajyāyas,not greater than (abl.),mfn.
अज्येष्ठ,ajyeṣṭha,not the oldest or best,mfn.
अञ्च्,añc,"connected with ac q.v.) cl.1 P. A1. /aYcati, te, AnaYca, ce, aYci-zyati, te, aYcitum, to bend, curve, incline, curl",m.
अञ्ज्,añj,"aNkt/e, A naYja, aYjizyati or aNkzyati, AYjIt, aYjitum or aNktum, to apply an ointment or pigment, smear with, anoint",m.
अञ्जल,añjala,only ifc,
अञ्जलि,añjali,"aYj), the open hands placed side by side and slightly hollowed (as if by a beggar to receive food",m.
अञ्जिक,añjika,N. of a son of Yaduyadu.,m.
अञ्जिहिषा,añjihiṣā,fr. Desid. of 1. aMh),f.
अञ्जी,añjī,a blessing (?) T.,f.
अञ्जीर,añjīra,a Persian word),n.
अट्,aṭ,"te, Awa, awizyati, AwIt, awitum, to roam, wander about (sometimes with acc.",mfn.
अटट,aṭaṭa,"a partic. hell, Divya7v.",
अटत,aṭata,"for a-tawa?) a partic. hell, Divya7v.",
अटनि,aṭani,See aw.,
अटरुष,aṭaruṣa,or awarUza or awarUzaka m,m.
अटरूष,aṭarūṣa,or awaruza or awarUzaka m,m.
अटल,aṭala,not shaky,mfn.
अट्ट्,aṭṭ,"Anawwe, awwitum, to exceed L.",ind.
अट्टाल,aṭṭāla,or awwAlaka a watchtower,m.
अट्टालक,aṭṭālaka,or awwAla a watchtower,m.
अट्टिलिका,aṭṭilikā,N. of a town Ra1jat.,f.
अट्णार,aṭṇāra,a king of Kosalakosala S3Br.,m.
अट्या,aṭyā,See aw.,f.
अठ्,aṭh,"te, to go L.",
अठिद,aṭhida,pl. N. of a people MBh.,m.
अठिल्ला,aṭhillā,N. of a Pra1kr2itPrakrit metre.,f.
अड्,aḍ,to endeavour L.,
अडकवती,aḍakavatī,N. of a fabulous palace on Merumeru,f.
अडर,aḍara,a tree,m.
अडुव,aḍuva,a boat (= plava),m.
अड्ड्,aḍḍ,"Anaqqa, aqqitum, to join L.",n.
अण्,aṇ,"ARa, aRitum, to sound L. : cl.4 A1. aRyate, to breathe, (another form of an q.v.",mfn.
अणुह,aṇuha,N. of a son of Vibhra1javiBrAja MBh.,m.
अण्ठ्,aṇṭh,or aW cl.1 A1,
अठ्,aṭh,or aRW cl.1 A1,mfn.
अण्ड,aṇḍa,also m,n.
अत्,at,"a prefix said to imply surprise , probably a contraction of ati, meaning extraordinary , (g",ind.
अत्,at,cl.1 P. A1. /atati (Naigh.,m.
अतज्ज्ञ,atajjña,for a-tad-jYa) mfn,mfn.
अतट,ataṭa,having no beach or shore,mfn.
अतत्त्वविद्,atattvavid,not knowing the truth i.e,mfn.
अतथा,atathā,"not saying taTA (yes) , giving a negative answer RV",mfn.
अतद्,atad,not that BhP,mfn.
अतद्धित,ataddhita,mfn.,mfn.
अतनु,atanu,not thin,mfn.
अतन्त्र,atantra,having no cords,mfn.
अतन्द्र,atandra,"free from lassitude, alert, unwearied RV.",mfn.
अतप,atapa,tap) m,m.
अतमस्,atamas,without darkness S3Br,mfn.
अतमेरु,atameru,not languid VS.,mfn.
अतर,atara,mfn.,mfn.
अतरपण्येन,atarapaṇyena,without paying toll,ind.
अतरित्र,ataritra,mfn.,mfn.
अतर्क,atarka,an illogical reasoner,m.
अतर्षुलम्,atarṣulam,"ind., Seetarzula 83495, without desireMBh",ind.
अतल,atala,bottomless,n.
अतव्यस्,atavyas,"An,asI,as, not stronger, not very strong RV",
अतस्,atas,ablative of the pronom,ind.
अतस,atasa,"at), wind, air L.",m.
अतसि,atasi,"at), a wandering mendicant RV",m.
अतस्कर,ataskara,free from robbers,mfn.
अतस्थान,atasthāna,sTA) mfn,mfn.
अतापस,atāpasa,not an ascetic S3Br.,mfn.
अति,ati,"[probably neut. of an obsolete adj. atin, passing, going, beyond",ind.
अतिकथ,atikatha,"transgressing tradition or law, deviating from the rules of caste (See also s.v",mfn.
अतिकन्दक,atikandaka,the plant Hastikandahastikanda.,m.
अतिकल्याण,atikalyāṇa,mf(I)n,mf
अतिकश,atikaśa,"beyond the whip, unmanageable Pa1n2",mfn.
अतिकुप्,atikup,to become very angry.,
अतिकूर्द्,atikūrd,to jump about.,
अतिकृति,atikṛti,excess,f.
अतिकृति,atikṛti,or better aBi-kfti q.v.,
अभिकृति,abhikṛti,or ati-kfti q.v.,
अतिकृष्,atikṛṣ,to drag over or beyond.,
अतिकेशर,atikeśara,the plant Trapa Bispinosa.,m.
अतिक्रम्,atikram,"to step or go beyond or over or across, (Ved. Inf. ati-kr/ame, to be walked on RV. i, 105, 16)",m.
अतिक्षर्,atikṣar,to overflow or flow through RV,
अतिक्षिप्,atikṣip,to throw beyond.,mfn.
अतिखट्व,atikhaṭva,"beyond the bedstead, able to do without a bedstead Pa1n2",mfn.
अतिख्या,atikhyā,"to survey, overlook (3. sg. impf. /aty-aKyat) AV.",
अतिगम्,atigam,"or ati-gA, to pass by or over Page13,3",
अतिगा,atigā,"or ati-gam, to pass by or over Page13,3",mfn.
अतिगर्ज्,atigarj,to speak loudly or provokingly or in a threatening voice MBh.,
अतिगव,atigava,a bull) covering the cow L.,mfn.
अतिगाह्,atigāh,to emerge over,mfn.
अतिगुर्,atigur,Pot. /ati jugury/At),
अतिगुहा,atiguhā,the plant Hemionites Cordifolia.,f.
अतिग्रह्,atigrah,to take beyond or over the usual measure S3Br.,m.
अतिघ,atigha,han),m.
अतिचमू,aticamū,victorious) over armies L.,mfn.
अतिचर्,aticar,to pass by,mfn.
अतिचित्रीय,aticitrīya,Nom. A1. yate,
अतिचृत्,aticṛt,to stick on,
अतिचेष्ट्,aticeṣṭ,to make extraordinary or excessive efforts.,
अतिच्छन्द,aticchanda,"prob.) too much wilfulness or criticism, MBh",m.
अतिच्छन्दस्,aticchandas,past worldly desires free from them S3Br,mfn.
अतिजगती,atijagatī,N. of a class of metres (belonging to those called aticCandas,f.
अतिजन,atijana,beyond men,mfn.
अतिजात,atijāta,superior to parentage.,mfn.
अतिजि,atiji,aor. /aty-ajEzIt),
अतिजीव्,atijīv,to survive,
अतितत,atitata,tan),mfn.
अतितप्,atitap,"to be very hot AV. xviii, 2, 36, &c",
अतितराम्,atitarām,compar,ind.
अतितृद्,atitṛd,"to cleave, split VS.",
अतितृप्,atitṛp,to be satiated.,
अतितॄ,atitṝ,"to pass through or by or over, cross, overcome, escape: Desid",mfn.
अतितिक्षमाण,atitikṣamāṇa,unable to endure,mfn.
अतित्यद्,atityad,surpassing that Pa1n2,
अतित्वम्,atitvam,surpassing thee Pa1n2,
अतित्वर्,atitvar,to hasten overmuch.,
अतिथि,atithi,"at, or said to be from a-tiTi, one who has no fixed day for coming ) , a guest, a person entitled to hospitality",m.
अतिदंह्,atidaṃh,"only in -daMhIH, used in explaining aDi-Dak), Nir",
